code,predictweek,predicted_range,predicted_prob,type,weekly_returns,display_name,name,weights
601100.XSHG,2018-01-14,0,0.2598018381196133,Long,-0.0006548788474132206,恒立液压,HLYY,1.0
002714.XSHE,2018-01-21,0,0.25835224026850645,Long,0.0164369034994698,牧原股份,MYGF,1.0
002714.XSHE,2018-02-04,0,0.2552786530680634,Long,-0.09693877551020412,牧原股份,MYGF,1.0
300122.XSHE,2018-02-11,4,0.2684686871431424,Short,0.10921380291711136,智飞生物,ZFSW,0.40624
600516.XSHG,2018-02-11,4,0.26425443466356746,Short,0.016488046166529324,方大炭素,FDTS,0.2446
002146.XSHE,2018-02-11,4,0.26354177322964867,Short,0.22325976230899824,荣盛发展,RSFZ,0.34917
600176.XSHG,2018-02-18,4,0.3763557990320673,Short,-0.0847457627118644,中国巨石,ZGJS,0.22354
000671.XSHE,2018-02-18,4,0.37470156521073184,Short,-0.11157601115760117,阳光城,YGC,0.18392
603993.XSHG,2018-02-18,4,0.3572703528890898,Short,-0.08658743633276744,洛阳钼业,LYMY,0.04274
002146.XSHE,2018-02-18,4,0.35617710286638926,Short,-0.049180327868852285,荣盛发展,RSFZ,0.07095
601899.XSHG,2018-02-18,4,0.30830417277172273,Short,-0.04914004914004888,紫金矿业,ZJKY,0.47884
300413.XSHE,2018-03-11,0,0.27063433627038924,Long,0.09010989010989023,芒果超媒,MGCM,1.0
002129.XSHE,2018-04-01,4,0.26291916505603125,Short,-0.1979045401629802,中环股份,ZHGF,1.0
600271.XSHG,2018-04-08,0,0.28589066405657193,Long,0.039867109634551534,航天信息,HTXX,1.0
300347.XSHE,2018-04-15,0,0.25358980869978776,Long,0.003575685339689993,泰格医药,TGYY,0.5
002129.XSHE,2018-04-15,4,0.2521716584173646,Short,0.026484018264840148,中环股份,ZHGF,0.5
300347.XSHE,2018-04-29,0,0.26472322797836323,Long,0.09153380978559644,泰格医药,TGYY,0.74277
002371.XSHE,2018-04-29,0,0.25352758073300424,Long,-0.051993067590987874,北方华创,BFHC,0.25723
600332.XSHG,2018-05-06,0,0.25293181585280033,Long,0.08507506623491312,白云山,BYS,0.5
002456.XSHE,2018-05-06,4,0.2512038867331612,Short,-0.070780399274047,欧菲光,OFG,0.5
603658.XSHG,2018-05-27,0,0.25623779426511645,Long,0.12630288166768874,安图生物,ATSW,0.5
600332.XSHG,2018-05-27,4,0.25701182413823487,Short,-0.0075628202000486144,白云山,BYS,0.5
603658.XSHG,2018-06-10,0,0.2514541880717279,Long,0.08897191088971912,安图生物,ATSW,0.5
300122.XSHE,2018-06-10,4,0.3360211418979494,Short,-0.12699564586357034,智飞生物,ZFSW,0.5
603658.XSHG,2018-06-17,0,0.25234873596616414,Long,-0.04155019059720455,安图生物,ATSW,1.0
300347.XSHE,2018-06-24,0,0.25139478139926563,Long,0.08145491803278683,泰格医药,TGYY,1.0
603658.XSHG,2018-07-01,0,0.26130364851497695,Long,-0.01841977702375175,安图生物,ATSW,0.5
600004.XSHG,2018-07-01,4,0.2997189870016802,Short,0.07942238267148016,白云机场,BYJC,0.226625
601231.XSHG,2018-07-01,4,0.2727187779801663,Short,-0.06354916067146266,环旭电子,HXDZ,0.100305
300433.XSHE,2018-07-01,4,0.26123968279947585,Short,-0.09807073954983923,蓝思科技,LSKJ,0.022475
000860.XSHE,2018-07-01,4,0.254561738430627,Short,0.028116531165311542,顺鑫农业,SXNY,0.150595
600115.XSHG,2018-07-08,4,0.2601470488688459,Short,0.06554878048780488,东方航空,DFHK,1.0
002271.XSHE,2018-07-22,4,0.27431769108689497,Short,0.03848466626578462,东方雨虹,DFYH,1.0
002271.XSHE,2018-07-29,4,0.25903725887308526,Short,-0.06253908692933073,东方雨虹,DFYH,1.0
002153.XSHE,2018-08-05,0,0.25333392132255517,Long,-0.09357964869775903,石基信息,SJXX,0.5
002271.XSHE,2018-08-05,4,0.2993870521191858,Short,0.11771630370806352,东方雨虹,DFYH,0.31409
300122.XSHE,2018-08-05,4,0.2550392615714329,Short,0.09235668789808926,智飞生物,ZFSW,0.18591
002153.XSHE,2018-08-19,0,0.25577513908797395,Long,-0.049019607843137185,石基信息,SJXX,0.5
000661.XSHE,2018-08-19,4,0.25036621133308,Short,0.06929104125365815,长春高新,CCGX,0.5
002153.XSHE,2018-08-26,0,0.25329886661100753,Long,0.1109028428616059,石基信息,SJXX,0.5
000860.XSHE,2018-08-26,4,0.2995537192075709,Short,-0.06557377049180335,顺鑫农业,SXNY,0.065275
000723.XSHE,2018-08-26,4,0.262522122056413,Short,0.07180851063829774,美锦能源,MJNY,0.312885
